Gym Name,	Description
Retro Fitness,Weights-Cardio
LA Fitness,Weights-Cardio-Classes
Crunch,Weights-Cardio-Classes
Push Fitness,Weights-Cardio-Classes
Planet Fitness,Weights-Cardio
24 Hour Fitness,Weights-Cardio
Any Time Fitness,Weights-Cardio-Classes
New York Sports Clubs,Weights-Cardio-Classes
YMCA,Weights-Cardio-Classes-Pool
Equinox,Weights-Cardio
Talwakars,Weights-Cardio
CrossFit,Classes
Club One Fitness,Weights-Cardio
Snap Fitness,Weights-Cardio
Curves,Classes
Iron Tribe Fitness,Weights-Cardio
Urban Body Fitness, Weight-Cardio-Classes
Just Fitness 4U,Weights-Cardio-Classes
World Gym,Weights-Cardio
Live Fit Gym,Weights-Cardio
Houston Gym,Weights
Fit Athletic Club,Cardio-Classes
Fitness Connection, Cardio
City Fitness, Weights-Cardio
Fit Gym, Weights-Cardio
YouFit, Cardio-Classes
Optimal Sport Health Clubs, Cardio-Classes
